table_name,column_name,data_type,is_nullable,is_primary_key,parent_table,parent_column,is_foreign_key
public.hmhk_advice_drug,case_reg_no,character,YES,False,,,False
public.hmhk_advice_drug,visit_no,smallint,NO,False,,,False
public.hmhk_advice_drug,drug_cd,character,NO,False,,,False
public.hmhk_advice_drug,drug_name,character,NO,False,,,False
public.hmhk_advice_drug,drug_qty,character,NO,False,,,False
public.hmhk_advice_drug,hu_avail_flag,character,YES,False,,,False
public.hmhk_advice_drug,dosage,character,YES,False,,,False
public.hmhk_case_disposal,case_type,character,NO,False,,,False
public.hmhk_case_disposal,disposal_cd,character,NO,False,,,False
public.hmhk_case_disposal,cert_ind,character,YES,False,,,False
public.hmhk_case_reg,case_reg_no,character,NO,False,,,False
public.hmhk_case_reg,emp_category,character,NO,False,,,False
public.hmhk_case_reg,emp_no,integer,YES,False,public.pmm_employee,emp_no,True
public.hmhk_case_reg,depn_no,integer,YES,False,,,False
public.hmhk_case_reg,patient_name,character,NO,False,,,False
public.hmhk_case_reg,age,numeric,NO,False,,,False
public.hmhk_case_reg,sex,character,NO,False,,,False
public.hmhk_case_reg,patient_addr1,character,NO,False,,,False
public.hmhk_case_reg,patient_addr2,character,YES,False,,,False
public.hmhk_case_reg,patient_addr3,character,YES,False,,,False
public.hmhk_case_reg,city,character,YES,False,,,False
public.hmhk_case_reg,state,character,YES,False,,,False
public.hmhk_case_reg,pincode,integer,YES,False,,,False
public.hmhk_case_reg,ref_let_no,character,YES,False,,,False
public.hmhk_case_reg,wca_case_ind,character,YES,False,,,False
public.hmhk_case_reg,wca_ref_let_no,character,YES,False,,,False
public.hmhk_case_reg,id_mark,character,YES,False,,,False
public.hmhk_case_reg,acc_place,character,YES,False,,,False
public.hmhk_case_reg,acc_dt,date,YES,False,,,False
public.hmhk_case_reg,acc_tm,time,YES,False,,,False
public.hmhk_case_reg,train_no,character,YES,False,,,False
public.hmhk_case_reg,tkt_no,integer,YES,False,,,False
public.hmhk_case_reg,case_status,character,YES,False,,,False
public.hmhk_case_reg,case_type,character,NO,False,public.hmm_case_type,case_type,True
public.hmhk_case_type,case_type,character,NO,False,,,False
public.hmhk_case_type,case_type_desc,character,NO,False,,,False
public.hmhk_case_type,charge_case,character,YES,False,,,False
public.hmhk_case_type,emp_category,character,YES,False,,,False
public.hmhk_cln_exam,case_reg_no,character,NO,True,,,False
public.hmhk_cln_exam,visit_no,smallint,NO,True,,,False
public.hmhk_cln_exam,case_reg_dt,date,NO,False,,,False
public.hmhk_cln_exam,case_reg_tm,time,NO,False,,,False
public.hmhk_cln_exam,case_reg_fee,numeric,YES,False,,,False
public.hmhk_cln_exam,pay_ind,character,NO,False,,,False
public.hmhk_cln_exam,doctor_note_1,character,YES,False,,,False
public.hmhk_cln_exam,doctor_note_2,character,YES,False,,,False
public.hmhk_cln_exam,doctor_note_3,character,YES,False,,,False
public.hmhk_cln_exam,doctor_note_4,character,YES,False,,,False
public.hmhk_cln_exam,doctor_note_5,character,YES,False,,,False
public.hmhk_cln_exam,nxt_rev_dt,date,YES,False,,,False
public.hmhk_cln_exam,ref_case_ind,character,YES,False,,,False
public.hmhk_cln_exam,hospital_name,character,YES,False,,,False
public.hmhk_cln_exam,doctor_name,character,NO,False,,,False
public.hmhk_cln_exam,disposal_cd,character,YES,False,public.hmm_disposal,disposal_cd,True
public.hmhk_cln_exam,disease_cd,character,YES,False,public.hmm_disease,disease_cd,True
public.hmhk_cln_exam,emp_grp_cd,character,YES,False,,,False
public.hmhk_cln_exam_remarks,case_reg_no,character,NO,True,,,False
public.hmhk_cln_exam_remarks,visit_no,smallint,NO,True,,,False
public.hmhk_cln_exam_remarks,remarks,character,YES,False,,,False
public.hmhk_credit_note_acc,sr_no,integer,NO,True,,,False
public.hmhk_credit_note_acc,health_unit,character,NO,False,,,False
public.hmhk_credit_note_acc,indr_cred_note_no,character,NO,False,,,False
public.hmhk_credit_note_acc,letter_issue_flg,character,NO,False,,,False
public.hmhk_credit_note_acc,letter_issue_reason,character,YES,False,,,False
public.hmhk_credit_note_acc,medical_branch,character,YES,False,,,False
public.hmhk_credit_note_acc,bill_recvd_dt,date,YES,False,,,False
public.hmhk_credit_note_acc,bill_amnt,numeric,YES,False,,,False
public.hmhk_credit_note_acc,date_admit,date,YES,False,,,False
public.hmhk_credit_note_acc,date_discharge,date,YES,False,,,False
public.hmhk_credit_note_acc,ip_number,character,YES,False,,,False
public.hmhk_credit_note_acc,diagnosis,character,YES,False,,,False
public.hmhk_credit_note_acc,bill_sanction_date,date,YES,False,,,False
public.hmhk_credit_note_acc,bill_registered_date,date,YES,False,,,False
public.hmhk_credit_note_acc,au6_no,character,YES,False,,,False
public.hmhk_credit_note_acc,amount_paid,numeric,YES,False,,,False
public.hmhk_credit_note_acc,bill_paid_date,date,YES,False,,,False
public.hmhk_credit_note_acc,status,character,YES,False,,,False
public.hmhk_credit_note_acc,user_id,character,YES,False,,,False
public.hmhk_credit_note_acc,time_stamp,timestamp,NO,False,,,False
public.hmhk_diagnosis_dtl,case_reg_no,character,NO,False,,,False
public.hmhk_diagnosis_dtl,visit_no,smallint,NO,False,,,False
public.hmhk_diagnosis_dtl,sr_no,smallint,NO,False,,,False
public.hmhk_diagnosis_dtl,disease_cd,character,YES,False,,,False
public.hmhk_diagnosis_dtl,nxt_rev_dt,date,YES,False,,,False
public.hmhk_diagnosis_dtl,ref_case_ind,character,YES,False,,,False
