table_name,column_name,data_type,is_nullable,is_primary_key,parent_table,parent_column,is_foreign_key
public.sa_ldap_user,uid,character,NO,False,,,False
public.sa_ldap_user,displayname,character,YES,False,,,False
public.sa_ldap_user,sn,character,YES,False,,,False
public.sa_ldap_user,givenname,character,YES,False,,,False
public.sa_ldap_user,initials,character,YES,False,,,False
public.sa_ldap_user,departmentnumber,character,YES,False,,,False
public.sa_ldap_user,title,character,YES,False,,,False
public.sa_ldap_user,l,character,YES,False,,,False
public.sa_ldap_user,st,character,YES,False,,,False
public.sa_ldap_user,homedirectory,character,YES,False,,,False
public.sa_ldap_user,create_usr_flag,character,YES,False,,,False
public.sa_ldap_user,uidnumber,integer,NO,False,,,False
public.sa_update_ldap_user,uid,character,NO,False,,,False
public.sa_update_ldap_user,updt_flg,character,YES,False,,,False
public.sa_update_ldap_user,time_stamp,timestamp,NO,False,,,False
public.sahk_archive_ext,transaction_no,character,NO,True,,,False
public.sahk_archive_ext,station,character,NO,True,,,False
public.sahk_archive_ext,unload_datetime,timestamp,YES,False,,,False
public.sahk_archive_ext,unload_status,character,YES,False,,,False
public.sahk_archive_ext,load_datetime,timestamp,YES,False,,,False
public.sahk_archive_ext,load_status,character,YES,False,,,False
public.sahk_archive_ext,arc_before_mth,smallint,YES,False,,,False
public.sahk_archive_ext,entry_datetime,timestamp,NO,False,,,False
public.sahk_archive_ext,user_id,character,NO,False,,,False
public.sahk_login_details,user_id,character,NO,False,,,False
public.sahk_login_details,login_datetime,timestamp,YES,False,,,False
public.sahk_login_details,logout_datetime,timestamp,YES,False,,,False
public.sahk_login_details,client_ip,character,YES,False,,,False
public.sahk_login_passwd,passwd_id,character,YES,False,,,False
public.sahk_login_passwd,username,character,YES,False,,,False
public.sahk_login_passwd,password,character,YES,False,,,False
public.sahk_login_passwd,user_id,integer,YES,False,,,False
public.sahk_login_passwd,timestamp,timestamp,YES,False,,,False
public.sahk_mod_activity,user_id,character,NO,False,,,False
public.sahk_mod_activity,prog_fname,character,YES,False,,,False
public.sahk_mod_activity,fparam1,character,YES,False,,,False
public.sahk_mod_activity,fparam2,character,YES,False,,,False
public.sahk_mod_activity,access_datetime,timestamp,YES,False,,,False
public.sahk_msgdetail,msg_id,integer,NO,True,,,False
public.sahk_msgdetail,line_no,smallint,NO,True,,,False
public.sahk_msgdetail,line_text,character,NO,False,,,False
public.sahk_msgheader,msg_id,integer,NO,True,,,False
public.sahk_msgheader,frm_server_name,character,NO,False,,,False
public.sahk_msgheader,frm_db_name,character,NO,False,,,False
public.sahk_msgheader,to_user_id,character,NO,False,,,False
public.sahk_msgheader,timestamp,timestamp,NO,False,,,False
public.sahk_msgheader,msg_header,character,NO,False,,,False
public.sahk_msgheader,msg_send_status,character,NO,False,,,False
public.sahk_msgheader,ack_req,integer,NO,False,,,False
public.sahk_msgheader,msg_t_send_status,character,YES,False,,,False
public.sahk_user,user_id,character,NO,False,,,False
public.sahk_user,emp_no,integer,NO,False,,,False
public.sahk_user,user_status,character,NO,False,,,False
public.sahk_user,exp_date,date,NO,False,,,False
public.sahk_user,role_id,integer,NO,False,,,False
public.sahk_user,reporting_officerno,integer,YES,False,,,False
public.sahk_user,time_stamp,timestamp,NO,False,,,False
public.sahk_user,created_by,character,NO,False,,,False
public.sahk_user,request_id,integer,NO,False,,,False
public.sahk_user,request_date,date,YES,False,,,False
public.sahk_user,stn_cde,character,YES,False,,,False
public.sahk_user_passwd,id,integer,NO,False,,,False
public.sahk_user_passwd,user_id,character,NO,False,,,False
public.sahk_user_passwd,passwd,character,NO,False,,,False
public.sahk_user_passwd,modified_by,character,YES,False,,,False
public.sahk_user_passwd,time_stamp,timestamp,YES,False,,,False
public.sahk_user_passwd,inactive_from_date,timestamp,YES,False,,,False
public.sam_appl,code,character,NO,False,,,False
public.sam_appl,srno,smallint,NO,False,,,False
public.sam_appl,descr,character,NO,False,,,False
public.sam_appl,combintation,character,NO,False,,,False
public.sam_appl,location,character,YES,False,,,False
