table_name,column_name,data_type,is_nullable,is_primary_key,parent_table,parent_column,is_foreign_key
public.tam_acf,class_cd,character,NO,True,public.ccm_tclassmst,class_cd,True
public.tam_acf,tkt_type,character,NO,True,,,False
public.tam_acf,amount,numeric,NO,False,,,False
public.tam_alloc_dt,alloc_cd,character,NO,True,,,False
public.tam_alloc_dt,alloc_sub_cd,character,NO,True,,,False
public.tam_alloc_dt,txn_type,character,NO,False,,,False
public.tam_alloc_dt,txn_charge,character,NO,False,,,False
public.tam_alloc_dt,to_pay,character,NO,False,,,False
public.tam_alloc_dt,txn_desc,character,NO,False,,,False
public.tam_alloc_dt,cc_cf_flag,character,NO,False,,,False
public.tam_alloc_dt,disg_flag,character,NO,False,,,False
public.tam_alloc_hd,alloc_cd,character,NO,True,,,False
public.tam_alloc_hd,alloc_desc,character,NO,False,,,False
public.tam_alloc_hd,cr_acct_cd,character,NO,False,,,False
public.tam_alloc_hd,dr_acct_cd,character,NO,False,,,False
public.tam_alloc_hd,cr_dr_flag,character,NO,False,,,False
public.tam_charges,charge_type,character,NO,True,,,False
public.tam_charges,cc_cf_flag,character,NO,True,,,False
public.tam_charges,charge_desc,character,NO,False,,,False
public.tam_charges,app_charge,character,NO,False,,,False
public.tam_charges,freight_yn,character,YES,False,,,False
public.tam_commodity,commodity_cd,integer,NO,True,,,False
public.tam_commodity,commodity_name,character,NO,False,,,False
public.tam_commodity_ord,commodity_cd,integer,NO,True,,,False
public.tam_commodity_ord,ord_no,integer,NO,False,,,False
public.tam_div_stn,div_cde,character,NO,True,,,False
public.tam_div_stn,stn_cde,character,NO,True,,,False
public.tam_group,transaction_type,character,NO,True,,,False
public.tam_group,disg_flag,character,NO,True,,,False
public.tam_group,group_desc,character,NO,False,,,False
public.tam_param,start_date,date,NO,False,,,False
public.tam_param,install_date,date,NO,False,,,False
public.tam_param,term_chrg,numeric,NO,False,,,False
public.tam_param,tranship_chrg,numeric,NO,False,,,False
public.tam_spcrdr_param,cr_dr_flag,character,NO,True,,,False
public.tam_spcrdr_param,reason_cd,integer,NO,True,,,False
public.tam_spcrdr_param,reason_desc,character,NO,False,,,False
public.tam_spcrdr_param,cash_out_flag,character,NO,True,,,False
public.tamk_comd_rate,commodity_cd,integer,NO,True,,,False
public.tamk_comd_rate,commodity_des,character,NO,False,,,False
public.tamk_comd_rate,ori_term_cost,numeric,NO,False,,,False
public.tamk_comd_rate,ori_term_charg,numeric,NO,False,,,False
public.tamk_comd_rate,dest_term_cost,numeric,NO,False,,,False
public.tamk_comd_rate,dest_term_charg,numeric,NO,False,,,False
public.tamk_comd_rate,from_dt,date,NO,True,,,False
public.tamk_comd_rate,to_dt,date,NO,False,,,False
public.tamk_comd_rate,user_id,character,NO,False,,,False
public.tamk_comd_rate,time_stamp,timestamp,NO,False,,,False
public.tamk_param_bs,stn_cd,character,NO,True,,,False
public.tamk_param_bs,install_date,date,NO,False,,,False
public.tamk_param_bs,cc_cf_flag,character,NO,True,,,False
public.tamk_param_bs,user_id,character,NO,False,,,False
public.tamk_param_bs,timestamp,timestamp,NO,False,,,False
public.tamk_party,party_cd,character,NO,True,public.fam_party,party_cd,True
public.tamk_party,ta_party_cd,character,NO,False,,,False
public.tamk_rly_ord,owning_rly,character,NO,True,,,False
public.tamk_rly_ord,rly_no,smallint,NO,False,,,False
public.tamk_rly_ord,rly_ord_no,smallint,NO,False,,,False
public.tamk_rly_ord,rly_name,character,NO,False,,,False
public.tamk_user_map,emp_no,integer,NO,True,,,False
public.tamk_user_map,user_id,character,NO,True,,,False
public.tamk_user_map,station,character,NO,True,,,False
public.tamk_user_map,cc_cf_flag,character,NO,False,,,False
public.tamk_user_map,stat,character,NO,False,,,False
public.tamk_user_map,reg_id,character,NO,False,,,False
public.tamk_user_map,reg_timestamp,timestamp,NO,True,,,False
public.tamk_user_map,auth_id,character,YES,False,,,False
public.tamk_user_map,auth_timestamp,timestamp,YES,False,,,False
public.tamk_user_map,cancel_id,character,YES,False,,,False
public.tamk_user_map,cancel_timestamp,timestamp,YES,False,,,False
public.tamk_zoneadd,zone_cd,character,NO,False,,,False
public.tamk_zoneadd,rly,character,NO,False,,,False
public.tamk_zoneadd,name,character,NO,False,,,False
public.tamk_zoneadd,add1,character,NO,False,,,False
public.tamk_zoneadd,add2,character,YES,False,,,False
public.tamk_zoneadd,add3,character,YES,False,,,False
public.tamk_zoneadd,pin,character,YES,False,,,False
public.tap_admit_flag,admit_flag,character,NO,True,,,False
public.tap_admit_flag,description,character,NO,False,,,False
public.tap_billyear,fin_yr,integer,NO,True,,,False
public.tap_billyear,yr_beg_dt,date,YES,False,,,False
public.tap_billyear,yr_end_dt,date,YES,False,,,False
public.tap_cf_rules,transaction_type,character,NO,True,,,False
public.tap_cf_rules,invoice_type,character,NO,True,,,False
public.tap_cf_rules,pis_flag,character,NO,False,,,False
public.tap_cf_rules,acct_flag,character,NO,False,,,False
public.tap_spcrdr_param,stn_cd,character,NO,True,,,False
public.tap_spcrdr_param,cc_cf_flag,character,NO,True,,,False
public.tap_spcrdr_param,day_of_month,integer,NO,False,,,False
public.tapk_bs_map,stn_bal_cd,smallint,NO,True,,,False
public.tapk_bs_map,stn_bal_desc,character,NO,False,,,False
